annee;nom;realisateur;entrees
1966;La Grande Vadrouille;Gérard Oury;17 272 987
1967;Les Grandes Vacances;Jean Girault;6 986 917
1968;Le gendarme se marie;Jean Girault;6 828 626
1969;Il était une fois dans l'Ouest;Sergio Leone;14 862 831
1970;Le Gendarme en balade;Jean Girault;4 870 673
1971;Les Bidasses en folie;Claude Zidi;7 460 911
1972;Orange mécanique;Stanley Kubrick;6 193 896
1973;Les Aventures de Rabbi Jacob;Gérard Oury;7 295 811
1974;Emmanuelle;Just Jaeckin;8 894 024
1975;La Tour infernale;John Guillermin;4 466 376
1976;Les Dents de la Mer;Steven Spielberg;6 261 062
1977;Les Aventures de Bernard et Bianca;Wolfgang Reitherman;5 219 476
1978;Midnight Express;Alan Parker;5 973 335
1979;Le Gendarme et les Extra-terrestres;Jean Girault;6 280 070
1980;La Boum;Claude Pinoteau;4 378 430
1981;La Chèvre;Francis Veber;7 079 674
1982;"E.T., l'extra-terrestre";Steven Spielberg;7 881 332
1983;Les dieux sont tombés sur la tête;Jamie Uys;5 950 061
1984;Marche à l'ombre;Michel Blanc;6 168 425
1985;Trois hommes et un couffin;Coline Serreau;10 251 465
1986;Jean de Florette;Claude Berri;7 223 657
1987;Crocodile Dundee;Peter Faiman;5 887 982
1988;Le Grand Bleu;Luc Besson;9 074 317
1989;Rain Man;Barry Levinson;6 474 520
1990;Le Cercle des poètes disparus;Peter Weir;6 599 969
1991;Danse avec les loups;Kevin Costner;7 280 124
1992;Basic Instinct;Paul Verhoeven;4 615 376
1993;Les Visiteurs;Jean-Marie Poiré;13 782 991
1994;Le Roi Lion;R. Minkoff - R. Allers;10 135 871
1995;Les Trois Frères;B. Campan - D. Bourdon;6 897 098
1996;Le Bossu de Notre-Dame;G. Trousdale - K. Wise;6 833 195
1997;Le Cinquième Élément;Luc Besson;7 727 697
1998;Titanic;James Cameron;20 758 841
1999;Astérix et Obélix contre César;Claude Zidi;8 948 624
2000;Taxi 2;Gérard Krawczyk;10 349 454
2001;Harry Potter à l?école des sorciers;Chris Columbus;9 470 090
2002;Astérix et Obélix : Mission Cléopâtre;Alain Chabat;14 559 509
2003;Le Monde de Nemo;A. Stanton - L. Unkrich;9 528 033
2004;Les Choristes;Christophe Barratier;8 696 013
2005;Harry Potter et la Coupe de Feu;Mike Newell;7 732 071
2006;Les Bronzés 3;Patrice Leconte;10 355 928
2007;Ratatouille;Brad Bird;7 845 210
2008;Bienvenue chez les Ch'tis;Dany Boon;20 489 303
2009;Avatar;James Cameron;14 677 888
2010;Harry Potter et les Reliques de la Mort - 1re partie;David Yates;6 016 779
2011;Intouchables;E.Toledano - O.Nakache;19 440 920
2012;Skyfall;Sam Mendes;7 003 902
2013;La Reine des neiges;C. Buck - J. Lee;5 151 855
2014;Qu'est-ce qu'on a fait au Bon Dieu ?;Philippe de Chauveron;12 361 430
2015;"Star Wars, épisode VII : Le Réveil de la Force";J. J. Abrams;10 505 479
2016;Vaiana : La Légende du bout du monde;J. Musker - R. Clements;5 625 807
2017;"Star Wars, épisode VIII : Les Derniers Jedi";Rian Johnson;7 197 448
2018;Les Indestructibles 2;Brad Bird;5 845 365
2019;Le Roi lion;Jon Favreau;10 017 995
2020;Tenet;Christopher Nolan;2 348 893
